round,prediction,actual,result,bet,profit,balance
1,莊,莊,贏,100,95.0,95.0
2,莊,莊,贏,100,95.0,190.0
3,莊,莊,贏,100,95.0,285.0
4,莊,莊,贏,100,95.0,380.0
5,莊,閒,輸,100,-100.0,280.0
6,莊,閒,輸,100,-100.0,180.0
7,莊,閒,輸,100,-100.0,80.0
8,莊,閒,輸,100,-100.0,-20.0
9,莊,閒,輸,100,-100.0,-120.0
10,莊,莊,贏,100,95.0,-25.0
11,莊,莊,贏,100,95.0,70.0
12,莊,和,和局,0,0.0,70.0
13,莊,莊,贏,100,95.0,165.0
14,莊,閒,輸,100,-100.0,65.0
15,莊,閒,輸,100,-100.0,-35.0
16,莊,閒,輸,100,-100.0,-135.0
17,莊,莊,贏,100,95.0,-40.0
18,莊,閒,輸,100,-100.0,-140.0
19,莊,莊,贏,100,95.0,-45.0
20,莊,閒,輸,100,-100.0,-145.0
21,莊,閒,輸,100,-100.0,-245.0
22,莊,莊,贏,100,95.0,-150.0
23,莊,莊,贏,100,95.0,-55.0
24,莊,莊,贏,100,95.0,40.0
25,莊,閒,輸,100,-100.0,-60.0
26,莊,莊,贏,100,95.0,35.0
27,閒,閒,贏,100,100.0,135.0
28,莊,莊,贏,100,95.0,230.0
29,莊,閒,輸,100,-100.0,130.0
30,莊,莊,贏,100,95.0,225.0
31,莊,閒,輸,100,-100.0,125.0
32,莊,閒,輸,100,-100.0,25.0
33,莊,閒,輸,100,-100.0,-75.0
34,莊,和,和局,0,0.0,-75.0
35,莊,和,和局,0,0.0,-75.0
36,莊,和,和局,0,0.0,-75.0
37,閒,和,和局,0,0.0,-75.0
38,閒,莊,輸,100,-100.0,-175.0
39,閒,閒,贏,100,100.0,-75.0
40,閒,閒,贏,100,100.0,25.0
41,閒,莊,輸,100,-100.0,-75.0
42,閒,和,和局,0,0.0,-75.0
43,莊,閒,輸,100,-100.0,-175.0
44,閒,和,和局,0,0.0,-175.0
45,閒,莊,輸,100,-100.0,-275.0
46,閒,閒,贏,100,100.0,-175.0
47,閒,閒,贏,100,100.0,-75.0
48,閒,和,和局,0,0.0,-75.0
49,閒,閒,贏,100,100.0,25.0
50,閒,莊,輸,100,-100.0,-75.0
51,閒,閒,贏,100,100.0,25.0
52,閒,莊,輸,100,-100.0,-75.0
53,閒,閒,贏,100,100.0,25.0
54,閒,莊,輸,100,-100.0,-75.0
55,閒,莊,輸,100,-100.0,-175.0
56,莊,莊,贏,100,95.0,-80.0
57,莊,莊,贏,100,95.0,15.0
58,莊,閒,輸,100,-100.0,-85.0
59,閒,莊,輸,100,-100.0,-185.0
60,閒,和,和局,0,0.0,-185.0
61,莊,莊,贏,100,95.0,-90.0
62,閒,閒,贏,100,100.0,10.0
63,閒,莊,輸,100,-100.0,-90.0
64,閒,閒,贏,100,100.0,10.0
65,閒,和,和局,0,0.0,10.0
66,莊,莊,贏,100,95.0,105.0
67,莊,莊,贏,100,95.0,200.0
68,閒,莊,輸,100,-100.0,100.0
69,閒,和,和局,0,0.0,100.0
70,閒,莊,輸,100,-100.0,0.0
71,閒,莊,輸,100,-100.0,-100.0
72,閒,莊,輸,100,-100.0,-200.0
73,閒,莊,輸,100,-100.0,-300.0
74,閒,莊,輸,100,-100.0,-400.0
75,莊,莊,贏,100,95.0,-305.0
76,莊,閒,輸,100,-100.0,-405.0
77,閒,閒,贏,100,100.0,-305.0
78,閒,莊,輸,100,-100.0,-405.0
79,莊,閒,輸,100,-100.0,-505.0
80,莊,莊,贏,100,95.0,-410.0
81,莊,莊,贏,100,95.0,-315.0
82,莊,閒,輸,100,-100.0,-415.0
83,閒,閒,贏,100,100.0,-315.0
84,莊,莊,贏,100,95.0,-220.0
85,莊,莊,贏,100,95.0,-125.0
86,莊,莊,贏,100,95.0,-30.0
87,莊,閒,輸,100,-100.0,-130.0
88,莊,閒,輸,100,-100.0,-230.0
89,莊,莊,贏,100,95.0,-135.0
90,莊,莊,贏,100,95.0,-40.0
91,莊,莊,贏,100,95.0,55.0
92,莊,莊,贏,100,95.0,150.0
93,莊,閒,輸,100,-100.0,50.0
94,莊,閒,輸,100,-100.0,-50.0
95,莊,莊,贏,100,95.0,45.0
96,莊,閒,輸,100,-100.0,-55.0
97,莊,閒,輸,100,-100.0,-155.0
98,莊,莊,贏,100,95.0,-60.0
99,莊,莊,贏,100,95.0,35.0
100,莊,閒,輸,100,-100.0,-65.0
101,莊,莊,贏,100,95.0,30.0
102,莊,和,和局,0,0.0,30.0
103,莊,莊,贏,100,95.0,125.0
104,莊,莊,贏,100,95.0,220.0
105,莊,和,和局,0,0.0,220.0
106,莊,閒,輸,100,-100.0,120.0
107,閒,和,和局,0,0.0,120.0
108,閒,閒,贏,100,100.0,220.0
109,莊,閒,輸,100,-100.0,120.0
110,閒,莊,輸,100,-100.0,20.0
111,莊,莊,贏,100,95.0,115.0
112,莊,閒,輸,100,-100.0,15.0
113,莊,閒,輸,100,-100.0,-85.0
114,莊,閒,輸,100,-100.0,-185.0
115,莊,和,和局,0,0.0,-185.0
116,莊,莊,贏,100,95.0,-90.0
117,莊,莊,贏,100,95.0,5.0
118,莊,閒,輸,100,-100.0,-95.0
119,莊,莊,贏,100,95.0,0.0
120,閒,莊,輸,100,-100.0,-100.0
121,莊,閒,輸,100,-100.0,-200.0
122,閒,閒,贏,100,100.0,-100.0
123,莊,莊,贏,100,95.0,-5.0
124,莊,莊,贏,100,95.0,90.0
125,莊,莊,贏,100,95.0,185.0
126,莊,閒,輸,100,-100.0,85.0
127,莊,閒,輸,100,-100.0,-15.0
128,莊,閒,輸,100,-100.0,-115.0
129,莊,莊,贏,100,95.0,-20.0
130,莊,和,和局,0,0.0,-20.0
131,莊,閒,輸,100,-100.0,-120.0
132,閒,莊,輸,100,-100.0,-220.0
133,莊,莊,贏,100,95.0,-125.0
134,莊,閒,輸,100,-100.0,-225.0
135,閒,閒,贏,100,100.0,-125.0
136,莊,莊,贏,100,95.0,-30.0
137,莊,閒,輸,100,-100.0,-130.0
138,莊,莊,贏,100,95.0,-35.0
139,莊,莊,贏,100,95.0,60.0
140,莊,閒,輸,100,-100.0,-40.0
141,閒,閒,贏,100,100.0,60.0
142,莊,莊,贏,100,95.0,155.0
143,莊,莊,贏,100,95.0,250.0
144,莊,閒,輸,100,-100.0,150.0
145,莊,閒,輸,100,-100.0,50.0
146,莊,閒,輸,100,-100.0,-50.0
147,莊,閒,輸,100,-100.0,-150.0
148,莊,閒,輸,100,-100.0,-250.0
149,莊,莊,贏,100,95.0,-155.0
150,莊,閒,輸,100,-100.0,-255.0
151,莊,閒,輸,100,-100.0,-355.0
152,莊,閒,輸,100,-100.0,-455.0
153,莊,和,和局,0,0.0,-455.0
154,莊,莊,贏,100,95.0,-360.0
155,莊,莊,贏,100,95.0,-265.0
156,莊,莊,贏,100,95.0,-170.0
157,莊,莊,贏,100,95.0,-75.0
158,莊,閒,輸,100,-100.0,-175.0
159,閒,閒,贏,100,100.0,-75.0
160,莊,閒,輸,100,-100.0,-175.0
161,莊,閒,輸,100,-100.0,-275.0
162,莊,閒,輸,100,-100.0,-375.0
163,莊,莊,贏,100,95.0,-280.0
164,莊,莊,贏,100,95.0,-185.0
165,莊,莊,贏,100,95.0,-90.0
166,莊,閒,輸,100,-100.0,-190.0
167,莊,莊,贏,100,95.0,-95.0
168,莊,莊,贏,100,95.0,0.0
169,莊,莊,贏,100,95.0,95.0
170,莊,閒,輸,100,-100.0,-5.0
171,莊,莊,贏,100,95.0,90.0
172,莊,閒,輸,100,-100.0,-10.0
173,莊,莊,贏,100,95.0,85.0
174,莊,閒,輸,100,-100.0,-15.0
175,莊,閒,輸,100,-100.0,-115.0
176,莊,閒,輸,100,-100.0,-215.0
177,莊,莊,贏,100,95.0,-120.0
178,莊,閒,輸,100,-100.0,-220.0
179,莊,莊,贏,100,95.0,-125.0
180,莊,莊,贏,100,95.0,-30.0
181,莊,莊,贏,100,95.0,65.0
182,閒,莊,輸,100,-100.0,-35.0
183,莊,閒,輸,100,-100.0,-135.0
184,閒,莊,輸,100,-100.0,-235.0
185,閒,莊,輸,100,-100.0,-335.0
186,莊,閒,輸,100,-100.0,-435.0
